 ,Area1,Mean1,Min1,Max1
1,80.338,29.248,0,142
2,80.338,29.399,0,177
3,80.338,30.168,0,137
4,80.338,30.815,0,131
5,80.338,28.731,0,135
6,80.338,30.683,0,188
7,80.338,29.575,0,138
8,80.338,30.214,0,131
9,80.338,31.377,0,137
10,80.338,30.930,0,173
11,80.338,29.019,0,165
12,80.338,30.642,0,169
13,80.338,30.195,0,160
14,80.338,31.026,1,163
15,80.338,31.740,0,150
16,80.338,30.091,0,159
17,80.338,30.572,1,144
18,80.338,30.615,0,142
19,80.338,30.466,1,146
20,80.338,31.543,1,137
21,80.338,29.786,0,146
22,80.338,31.161,0,167
23,80.338,28.954,0,124
24,80.338,30.671,0,146
25,80.338,30.041,1,140
26,80.338,31.062,0,173
27,80.338,32.690,0,135
28,80.338,31.767,1,192
29,80.338,30.964,0,136
30,80.338,30.337,0,144
31,80.338,31.034,0,161
32,80.338,30.356,0,146
33,80.338,31.212,1,170
34,80.338,31.702,0,139
35,80.338,30.173,0,154
36,80.338,31.428,0,139
37,80.338,31.808,2,172
38,80.338,31.409,1,173
39,80.338,31.303,0,149
40,80.338,32.291,0,161
41,80.338,32.668,0,200
42,80.338,31.796,0,159
43,80.338,31.885,0,147
44,80.338,31.736,1,145
45,80.338,33.012,0,157
46,80.338,32.060,1,160
47,80.338,33.495,0,169
48,80.338,31.623,0,147
49,80.338,30.351,0,143
50,80.338,31.793,0,164
51,80.338,32.827,1,200
52,80.338,32.327,0,146
53,80.338,31.750,0,146
54,80.338,32.469,0,168
55,80.338,31.954,0,137
56,80.338,31.082,0,168
57,80.338,32.026,0,157
58,80.338,31.019,0,190
59,80.338,32.281,1,141
60,80.338,30.933,0,158
61,80.338,31.188,0,154
62,80.338,31.863,0,150
63,80.338,32.349,0,200
64,80.338,33.394,0,142
65,80.338,31.656,0,162
66,80.338,30.812,0,141
67,80.338,33.115,0,150
68,80.338,31.349,1,162
69,80.338,32.250,0,179
70,80.338,34.262,0,162
71,80.338,33.712,0,157
72,80.338,30.257,1,140
73,80.338,32.209,0,178
74,80.338,33.228,1,164
75,80.338,32.190,1,167
76,80.338,32.079,1,178
77,80.338,31.447,0,147
78,80.338,33.779,0,147
79,80.338,32.757,1,157
80,80.338,32.844,1,145
81,80.338,32.409,0,154
82,80.338,31.945,0,157
83,80.338,31.925,0,152
84,80.338,33.195,0,175
85,80.338,32.161,1,174
86,80.338,33.079,0,170
87,80.338,31.644,0,176
88,80.338,31.832,1,137
89,80.338,31.654,0,149
90,80.338,32.712,0,141
91,80.338,32.183,0,132
92,80.338,31.954,0,143
93,80.338,32.248,0,138
94,80.338,31.024,0,169
95,80.338,31.365,0,200
96,80.338,32.404,0,145
97,80.338,33.803,0,184
98,80.338,32.762,0,170
99,80.338,32.839,0,169
100,80.338,34.200,0,178
101,80.338,35.055,1,140
102,80.338,36.760,0,201
103,80.338,36.639,0,247
104,80.338,36.058,0,174
105,80.338,35.156,2,158
106,80.338,35.805,0,166
107,80.338,34.151,0,167
108,80.338,32.269,0,166
109,80.338,34.870,1,168
110,80.338,34.579,0,170
111,80.338,34.091,0,216
112,80.338,33.945,0,154
113,80.338,33.635,0,150
114,80.338,33.387,0,165
115,80.338,32.002,0,144
116,80.338,32.385,0,149
117,80.338,32.168,0,150
118,80.338,31.611,0,165
119,80.338,34.260,0,144
120,80.338,33.856,0,166
121,80.338,32.500,0,208
122,80.338,32.411,0,167
123,80.338,32.389,0,157
124,80.338,31.510,0,148
125,80.338,33.493,0,173
126,80.338,31.678,0,163
127,80.338,32.575,0,166
128,80.338,32.034,0,156
129,80.338,34.149,1,147
130,80.338,31.923,0,156
131,80.338,33.279,2,182
132,80.338,31.716,1,164
133,80.338,31.998,0,141
134,80.338,30.988,1,147
135,80.338,31.750,0,169
136,80.338,32.399,0,139
137,80.338,32.450,0,123
138,80.338,30.767,0,140
139,80.338,30.269,0,149
140,80.338,29.837,0,148
141,80.338,30.486,0,145
142,80.338,30.543,0,179
143,80.338,31.721,2,163
144,80.338,29.945,0,160
145,80.338,30.418,0,186
146,80.338,30.726,2,148
147,80.338,30.690,0,163
148,80.338,30.988,0,167
149,80.338,29.397,0,160
150,80.338,31.387,0,150
151,80.338,32.315,0,168
152,80.338,29.964,0,158
153,80.338,31.075,0,145
154,80.338,29.849,0,138
155,80.338,31.312,1,162
156,80.338,31.183,0,155
