Frame,Area1,Mean1,Min1,Max1
1,162.220,25.954,0,211
2,162.220,25.569,0,211
3,162.220,26.433,0,240
4,162.220,26.219,0,246
5,162.220,25.630,0,239
6,162.220,25.327,0,232
7,162.220,25.330,0,244
8,162.220,25.939,0,230
9,162.220,27.343,0,255
10,162.220,25.845,0,227
11,162.220,26.043,0,226
12,162.220,25.994,0,255
13,162.220,24.788,0,228
14,162.220,25.521,0,224
15,162.220,26.580,0,210
16,162.220,26.101,0,201
17,162.220,25.636,0,239
18,162.220,26.196,0,232
19,162.220,26.551,0,240
20,162.220,27.194,0,215
21,162.220,26.315,0,229
22,162.220,27.004,0,255
23,162.220,26.662,0,223
24,162.220,26.173,0,255
25,162.220,26.760,0,250
26,162.220,25.338,0,221
27,162.220,26.021,0,241
28,162.220,27.135,0,222
29,162.220,26.214,0,209
30,162.220,26.017,0,225
31,162.220,25.785,0,224
32,162.220,26.649,0,244
33,162.220,26.482,0,245
34,162.220,25.389,0,216
35,162.220,26.682,1,255
36,162.220,26.567,0,240
37,162.220,25.764,0,244
38,162.220,26.292,0,228
39,162.220,26.623,0,205
40,162.220,26.401,0,255
41,162.220,26.048,0,228
42,162.220,26.275,0,218
43,162.220,25.719,0,224
44,162.220,25.658,0,255
45,162.220,26.727,0,255
46,162.220,26.725,0,241
47,162.220,26.657,1,255
48,162.220,26.621,0,255
49,162.220,26.938,0,255
50,162.220,25.900,0,199
51,162.220,26.142,0,246
52,162.220,26.335,0,250
53,162.220,25.887,0,250
54,162.220,26.618,0,231
55,162.220,25.842,0,222
56,162.220,27.061,0,252
57,162.220,26.775,0,253
58,162.220,26.750,0,255
59,162.220,26.962,0,240
60,162.220,27.083,0,249
61,162.220,26.871,0,219
62,162.220,26.838,0,219
63,162.220,27.769,0,226
64,162.220,26.715,0,255
65,162.220,26.854,0,225
66,162.220,26.735,0,249
67,162.220,27.176,0,223
68,162.220,26.494,0,238
69,162.220,26.958,0,218
70,162.220,26.056,0,255
71,162.220,26.617,0,253
72,162.220,26.457,0,255
73,162.220,26.679,0,226
74,162.220,26.549,0,244
75,162.220,26.968,0,255
76,162.220,26.474,0,255
77,162.220,26.901,0,255
78,162.220,26.767,0,253
79,162.220,25.954,0,231
80,162.220,26.317,0,255
81,162.220,26.923,0,240
82,162.220,27.315,0,252
83,162.220,26.330,0,237
84,162.220,26.725,0,231
85,162.220,26.670,0,255
86,162.220,27.020,0,234
87,162.220,26.513,0,252
88,162.220,26.593,0,248
89,162.220,27.712,0,222
90,162.220,26.948,0,232
91,162.220,27.174,0,237
92,162.220,27.115,0,255
93,162.220,25.152,0,231
94,162.220,26.955,0,248
95,162.220,26.451,0,254
96,162.220,26.810,0,244
97,162.220,26.170,0,248
98,162.220,27.105,0,214
99,162.220,27.118,0,254
100,162.220,27.608,0,219
101,162.220,27.045,0,255
102,162.220,27.054,1,255
103,162.220,27.173,0,226
104,162.220,26.855,1,255
105,162.220,26.476,0,255
106,162.220,26.743,0,255
107,162.220,26.675,0,228
108,162.220,26.873,0,237
109,162.220,27.570,0,255
110,162.220,28.071,0,249
111,162.220,27.076,0,245
112,162.220,26.581,0,215
113,162.220,25.482,0,203
114,162.220,26.849,0,233
115,162.220,26.617,0,255
116,162.220,26.725,0,233
117,162.220,25.937,0,255
118,162.220,25.588,0,247
119,162.220,26.656,0,232
120,162.220,26.080,0,236
121,162.220,27.002,0,255
122,162.220,27.504,0,234
123,162.220,27.042,0,236
124,162.220,26.605,0,191
125,162.220,27.769,0,255
126,162.220,27.258,0,255
127,162.220,27.480,0,255
128,162.220,27.173,0,246
129,162.220,28.163,0,255
130,162.220,27.174,0,255
131,162.220,27.027,0,249
132,162.220,26.844,0,255
133,162.220,26.355,0,239
134,162.220,26.983,0,255
135,162.220,26.421,0,255
136,162.220,28.071,0,255
137,162.220,27.327,0,238
138,162.220,26.923,0,255
139,162.220,27.670,0,211
140,162.220,26.749,0,235
141,162.220,26.220,0,216
142,162.220,27.001,0,239
